player_id,full_name,web_name,player_name,photo_url
370,Dante Cassanova,Cassanova,Cassanova,
371,Dara Costelloe,Costelloe,Costelloe,
376,Darren Randolph,Randolph,Randolph,
380,David Datro Fofana,D.D.Fofana,D.D.Fofana,
381,David De Gea Quintana,De Gea,De Gea,
382,David Luiz Moreira Marinho,David Luiz,David Luiz,
383,David McGoldrick,McGoldrick,McGoldrick,
386,Davinson Sánchez,Sánchez,D. Sánchez,
387,Davy Pröpper,Pröpper,Pröpper,
388,DeAndre Yedlin,Yedlin,Yedlin,
390,Dean Huijsen,Huijsen,Huijsen,
392,Deivid Washington de Souza Eugênio,Deivid,Deivid,
394,Dele Alli,Dele,Dele,
395,Demarai Gray,Gray,D. Gray,
396,Denis Franchi,Franchi,Franchi,
397,Denis Odoi,Odoi,Odoi,
398,Denis Zakaria,Zakaria,Zakaria,
399,Deniz Undav,Undav,Undav,
400,Dennis Praet,Praet,Praet,
403,Detlef Esapa Osong,Osong,Osong,
404,Devan Tanton,Tanton,Tanton,
405,Dexter Lembikisa,Lembikisa,Lembikisa,
406,Diego Carlos Santos Silva,Diego Carlos,Diego Carlos,
407,Diego Da Silva Costa,Diego Costa,Diego Costa,
409,Diego Llorente,Llorente,Llorente,
410,Diego Manuel Jadon da Silva Moreira,Diego Moreira,Diego Moreira,
411,Dilan Markanday,Markanday,Markanday,
412,Dimitris Giannoulis,Giannoulis,Giannoulis,
414,Diogo Jota,Jota,D. Jota,
415,Diogo Pinheiro Monteiro,Monteiro,Monteiro,
416,Diogo Teixeira da Silva,Diogo Jota,Diogo Jota,
417,Dion Pereira,Pereira,D. Pereira,
418,Dion Sanderson,Sanderson,Sanderson,
419,Divin Mubama,Mubama,Mubama,
420,Divock Origi,Origi,Origi,
422,Djordje Petrovic,Petrovic,Petrovic,
423,Domingos Quina,Quina,Quina,
424,Dominic Ballard,Ballard,D. Ballard,
426,Dominic Dos Santos Martins,Martins,Martins,
428,Dominic Solanke Mitchell,Mitchell,D. Mitchell,
429,Dominic Thompson,Thompson,D. Thompson,
431,Donny van de Beek,van de Beek,van de Beek,
434,Dovydas Sasnauskas,Sasnauskas,Sasnauskas,
435,Duje Caleta Car,Caleta-Car,Caleta-Car,
436,Dwight Gayle,Gayle,Gayle,
438,Dynel Simeu,Simeu,Simeu,
440,Ed Turns,Turns,Turns,
441,Eddie Beach,Beach,Beach,
444,Edinson Cavani,Cavani,Cavani,
445,Edo Kayembe,Kayembe,Kayembe,
