match_id,gw_id,player_id,team_id,position_id,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,transfers_in,transfers_out,now_cost,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,selected_by_percent
20252008,202524,1235,20,3,0,1,28,0,35.3,1,1,10.7,40.6,90,0,0,0,0,0,31.0,8,800728.0,995720.0,73.0,0,0.09,0.29,0.2,1.9,1.0,0.0,2.0,1.0,3.0,3.7
20252008,202524,240,20,3,0,0,1,0,2.3,1,0,0.1,0.0,45,0,0,0,0,0,0.0,1,256870.0,319382.0,57.0,0,0.01,0.01,0.0,1.69,1.0,0.0,2.0,0.0,2.0,0.7
20252008,202524,456,20,3,0,3,30,0,30.1,1,0,6.4,24.8,90,0,0,0,0,0,9.0,7,1064344.0,1132989.0,53.0,0,0.1,0.18,0.08,1.9,1.0,3.0,10.0,4.0,17.0,5.3
20252008,202524,885,20,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,1029.0,9080.0,54.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20252008,202524,1282,20,3,0,0,6,0,2.2,1,0,0.9,7.0,45,0,0,0,0,0,0.0,1,4518.0,2280.0,50.0,0,0.0,0.0,0.0,1.61,1.0,0.0,0.0,3.0,3.0,0.0
20252008,202524,1008,20,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,117.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20252008,202524,638,20,3,0,0,10,0,1.8,1,0,1.0,8.2,90,0,0,0,0,0,0.0,2,8877.0,11118.0,49.0,0,0.01,0.01,0.0,1.9,1.0,3.0,3.0,1.0,7.0,0.1
20252008,202524,1469,20,3,0,0,5,0,10.5,0,0,1.7,5.4,45,0,0,0,0,0,1.0,1,9363.0,18733.0,47.0,0,0.01,0.02,0.01,0.21,0.0,2.0,0.0,1.0,3.0,0.1
20252008,202524,480,20,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,2058.0,16473.0,45.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
20252008,202524,1921,20,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,245.0,5683.0,45.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20252008,202524,295,20,4,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,2133361.0,3379583.0,72.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7
20252008,202524,1922,20,4,0,0,2,0,1.3,1,0,1.5,0.0,69,0,0,0,0,0,14.0,2,371475.0,314716.0,58.0,0,0.0,0.12,0.12,1.85,1.0,1.0,1.0,0.0,2.0,1.4
20252008,202524,1575,20,4,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,33548.0,89683.0,52.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
20252806,202524,1934,28,1,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,10565.0,32062.0,42.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
20252806,202524,1538,28,1,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,17161.0,32017.0,39.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
