match_id,player_id,team_id,position_id,gw_id,was_home,total_shots,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,chances_created,final_third_passes,accurate_crosses,accurate_long_balls,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,aerial_duels_won,was_fouled,fouls_committed,saves,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,high_claim,offsides,xgot,start_min,finish_min,team_goals_conceded,penalties_scored
20251612,1392,16,2,202513,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
20251612,646,12,1,202513,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
20251612,1569,16,3,202513,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
20251612,736,16,1,202513,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
20251612,1417,16,2,202513,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
20251612,11,16,2,202513,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
20251612,1278,16,2,202513,1,2,2,1,2,7,78,35,3.0,2,0,0,0,3,0,8,6,1,9,7,2,7,1,1,0,0.0,0.0,0,0,0,0,0,0.88,0,90,2,0
20251612,888,16,2,202513,1,2,1,0,0,6,85,65,1.0,11,0,3,1,6,0,2,2,0,5,6,2,3,1,1,0,0.0,0.0,0,0,0,0,0,0.99,0,90,2,0
20251612,1277,16,3,202513,1,2,1,1,0,2,88,63,0.0,9,0,0,0,8,0,4,1,0,6,6,4,2,2,2,0,0.0,0.0,0,0,0,0,0,0.17,0,90,2,0
20251612,906,16,3,202513,1,0,0,3,0,9,68,32,3.0,4,5,1,0,4,0,0,0,1,6,10,6,0,1,2,0,0.0,0.0,0,0,0,0,0,0.0,0,6,2,0
20251612,1895,16,3,202513,1,0,0,0,0,2,17,11,1.0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,2,0
20251612,1870,12,3,202513,0,0,0,0,0,2,40,18,0.0,0,0,0,1,5,0,2,1,3,7,5,5,2,0,1,0,0.0,0.0,0,0,0,0,0,0.0,0,2,3,0
20252803,1934,28,1,202513,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
20252803,1950,28,3,202513,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
20252803,1700,3,1,202513,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
20250406,840,4,3,202513,1,0,0,0,0,1,77,46,1.0,19,1,6,2,9,0,1,0,0,3,2,2,1,1,1,0,0.0,0.0,0,0,0,0,0,0.0,0,90,1,0
20250406,979,6,2,202513,0,0,0,0,0,0,66,28,0.0,5,0,4,1,4,0,7,5,0,8,6,6,2,2,1,0,0.0,0.0,0,0,0,0,0,0.0,0,90,3,0
20250406,1783,6,3,202513,0,0,0,0,0,0,13,6,1.0,2,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,3,0
20252803,1537,28,3,202513,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
