match_id,gw_id,home_team_id,away_team_id,home_team_elo,away_team_elo,home_possession,away_possession,home_expected_goals_xg,away_expected_goals_xg,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_big_chances,away_big_chances,home_big_chances_missed,away_big_chances_missed,home_accurate_passes,away_accurate_passes,home_fouls_committed,away_fouls_committed,home_corners,away_corners,home_xg_open_play,away_xg_open_play,home_xg_set_play,away_xg_set_play,home_non_penalty_xg,away_non_penalty_xg,home_xg_on_target_xgot,away_xg_on_target_xgot,home_shots_off_target,away_shots_off_target,home_blocked_shots,away_blocked_shots,home_hit_woodwork,away_hit_woodwork,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_passes,away_passes,home_own_half,away_own_half,home_opposition_half,away_opposition_half,home_accurate_long_balls,away_accurate_long_balls,home_accurate_crosses,away_accurate_crosses,home_throws,away_throws,home_touches_in_opposition_box,away_touches_in_opposition_box,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_tackles_won,away_tackles_won,home_interceptions,away_interceptions,home_blocks,away_blocks,home_clearances,away_clearances,home_keeper_saves,away_keeper_saves,home_duels_won,away_duels_won,home_ground_duels_won,away_ground_duels_won,home_aerial_duels_won,away_aerial_duels_won,home_successful_dribbles,away_successful_dribbles,gameweek,home_score,away_score,finished,home_team_name,away_team_name,season
20251204,202531,12,4,1780.19,1853.47,57.0,43.0,0.52,0.46,14.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,369.0,234.0,6.0,9.0,6.0,2.0,0.32,0.31,0.21,0.16,0.52,0.46,0.72,0.19,3.0,3.0,7.0,1.0,0.0,0.0,6.0,4.0,8.0,2.0,461.0,358.0,171.0,155.0,198.0,79.0,26.0,16.0,5.0,5.0,23.0,26.0,33.0,19.0,1.0,3.0,2.0,0.0,0.0,0.0,15.0,11.0,8.0,7.0,1.0,7.0,38.0,47.0,2.0,4.0,68.0,64.0,29.0,23.0,39.0,41.0,5.0,7.0,31.0,0.0,0.0,True,Leeds,Brentford,2025-26
20252002,202532,20,2,1784.7,1929.21,41.0,59.0,1.15,1.02,15.0,12.0,4.0,5.0,1.0,3.0,1.0,3.0,278.0,442.0,15.0,10.0,7.0,3.0,0.8,0.78,0.35,0.25,1.15,1.02,0.53,0.78,6.0,7.0,5.0,0.0,0.0,1.0,9.0,8.0,6.0,4.0,336.0,501.0,114.0,254.0,164.0,188.0,19.0,21.0,6.0,3.0,5.0,15.0,35.0,22.0,1.0,2.0,2.0,2.0,0.0,0.0,15.0,15.0,9.0,8.0,0.0,5.0,21.0,12.0,5.0,4.0,43.0,48.0,28.0,38.0,15.0,10.0,5.0,10.0,32.0,1.0,1.0,True,Nott'm Forest,Aston Villa,2025-26
20251712,202532,17,12,1880.65,1780.19,53.0,47.0,1.27,2.57,20.0,15.0,9.0,6.0,1.0,4.0,0.0,4.0,420.0,376.0,12.0,15.0,11.0,4.0,0.58,2.18,0.69,0.39,1.27,2.57,1.8,1.44,5.0,4.0,6.0,5.0,0.0,0.0,15.0,11.0,5.0,4.0,497.0,453.0,203.0,168.0,217.0,208.0,29.0,31.0,6.0,8.0,17.0,15.0,36.0,32.0,1.0,0.0,3.0,2.0,1.0,0.0,18.0,12.0,15.0,7.0,6.0,8.0,25.0,37.0,3.0,6.0,62.0,45.0,38.0,32.0,24.0,13.0,7.0,9.0,32.0,1.0,2.0,True,Man Utd,Leeds,2025-26
20250605,202532,6,5,1685.09,1829.52,50.0,50.0,0.88,1.93,10.0,13.0,5.0,6.0,1.0,1.0,1.0,1.0,387.0,397.0,7.0,11.0,8.0,2.0,0.15,1.91,0.72,0.02,0.88,1.93,1.09,2.5,3.0,3.0,2.0,4.0,0.0,0.0,8.0,9.0,2.0,4.0,475.0,477.0,210.0,232.0,177.0,165.0,28.0,19.0,6.0,8.0,27.0,11.0,15.0,39.0,2.0,1.0,2.0,1.0,0.0,0.0,11.0,29.0,10.0,18.0,5.0,2.0,25.0,26.0,3.0,4.0,45.0,52.0,33.0,43.0,12.0,9.0,12.0,7.0,32.0,0.0,2.0,True,Burnley,Brighton,2025-26
20250103,202532,1,3,2064.57,1835.06,52.0,48.0,2.32,1.19,15.0,8.0,3.0,3.0,5.0,2.0,4.0,0.0,314.0,292.0,12.0,18.0,10.0,1.0,0.18,1.19,1.35,0.0,1.54,1.19,1.08,1.41,4.0,3.0,8.0,2.0,0.0,0.0,10.0,5.0,5.0,3.0,389.0,367.0,175.0,163.0,139.0,129.0,21.0,13.0,5.0,1.0,30.0,20.0,33.0,18.0,2.0,0.0,1.0,3.0,0.0,0.0,17.0,20.0,7.0,9.0,2.0,7.0,23.0,28.0,1.0,2.0,56.0,58.0,43.0,39.0,13.0,19.0,9.0,8.0,32.0,1.0,2.0,True,Arsenal,Bournemouth,2025-26
20250409,202532,4,9,1853.47,1831.61,55.0,45.0,2.84,1.53,17.0,14.0,4.0,7.0,4.0,2.0,3.0,1.0,380.0,304.0,6.0,7.0,2.0,3.0,0.92,1.53,1.13,0.0,2.05,1.53,1.63,2.19,7.0,3.0,6.0,4.0,2.0,0.0,12.0,9.0,5.0,5.0,457.0,376.0,187.0,165.0,193.0,139.0,38.0,14.0,9.0,2.0,18.0,22.0,35.0,22.0,0.0,1.0,0.0,2.0,0.0,0.0,15.0,16.0,8.0,7.0,5.0,5.0,30.0,44.0,4.0,2.0,46.0,41.0,30.0,24.0,16.0,17.0,8.0,2.0,32.0,2.0,2.0,True,Brentford,Everton,2025-26
20252823,202532,28,23,1705.73,1819.66,52.0,48.0,1.33,0.84,13.0,11.0,2.0,7.0,3.0,1.0,3.0,1.0,318.0,301.0,14.0,15.0,2.0,6.0,0.7,0.68,0.63,0.16,1.33,0.84,0.61,1.82,8.0,3.0,3.0,1.0,0.0,0.0,8.0,10.0,5.0,1.0,403.0,365.0,151.0,187.0,167.0,114.0,19.0,22.0,6.0,8.0,12.0,16.0,20.0,25.0,0.0,0.0,3.0,3.0,0.0,0.0,22.0,10.0,9.0,8.0,1.0,3.0,22.0,28.0,7.0,1.0,50.0,43.0,43.0,28.0,7.0,15.0,8.0,5.0,32.0,1.0,0.0,True,Sunderland,Spurs,2025-26
20251410,202532,14,10,1949.06,1807.68,53.0,47.0,1.59,1.04,18.0,19.0,5.0,4.0,4.0,2.0,4.0,2.0,447.0,371.0,10.0,4.0,6.0,9.0,1.4,0.73,0.18,0.31,1.59,1.04,1.62,0.28,7.0,7.0,6.0,8.0,0.0,0.0,14.0,13.0,4.0,6.0,510.0,435.0,217.0,200.0,230.0,171.0,29.0,24.0,2.0,11.0,26.0,18.0,47.0,42.0,4.0,2.0,0.0,0.0,0.0,0.0,17.0,20.0,7.0,15.0,8.0,6.0,26.0,28.0,4.0,3.0,34.0,49.0,26.0,35.0,8.0,14.0,5.0,6.0,32.0,2.0,0.0,True,Liverpool,Fulham,2025-26
20252627,202532,26,27,1743.59,1669.32,44.0,56.0,2.35,0.59,18.0,14.0,7.0,3.0,6.0,0.0,3.0,0.0,288.0,393.0,11.0,7.0,5.0,2.0,1.82,0.27,0.53,0.31,2.35,0.59,3.45,0.45,7.0,8.0,4.0,3.0,1.0,0.0,14.0,9.0,4.0,5.0,355.0,456.0,168.0,202.0,120.0,191.0,28.0,8.0,4.0,3.0,25.0,25.0,24.0,22.0,0.0,1.0,2.0,2.0,0.0,0.0,23.0,17.0,5.0,8.0,3.0,4.0,21.0,19.0,4.0,3.0,49.0,49.0,35.0,37.0,14.0,12.0,5.0,10.0,32.0,4.0,0.0,True,West Ham,Wolves,2025-26
20250818,202532,8,18,1805.77,1866.62,41.0,59.0,2.56,1.13,11.0,7.0,5.0,3.0,4.0,2.0,2.0,1.0,303.0,437.0,17.0,12.0,2.0,4.0,0.76,1.03,1.02,0.11,1.77,1.13,3.22,1.23,3.0,1.0,3.0,3.0,1.0,0.0,9.0,5.0,2.0,2.0,380.0,542.0,157.0,247.0,146.0,190.0,23.0,20.0,5.0,1.0,20.0,28.0,21.0,14.0,1.0,0.0,0.0,3.0,0.0,0.0,21.0,6.0,12.0,12.0,3.0,3.0,41.0,16.0,2.0,3.0,49.0,48.0,33.0,30.0,16.0,18.0,1.0,8.0,32.0,2.0,1.0,True,Crystal Palace,Newcastle,2025-26
20250716,202532,7,16,1930.44,1973.92,37.0,63.0,1.14,2.29,12.0,18.0,3.0,8.0,1.0,3.0,1.0,0.0,342.0,627.0,10.0,15.0,4.0,12.0,0.99,1.88,0.15,0.41,1.14,2.29,1.14,3.5,4.0,4.0,5.0,6.0,0.0,0.0,7.0,14.0,5.0,4.0,407.0,685.0,213.0,254.0,129.0,373.0,12.0,20.0,4.0,6.0,12.0,13.0,15.0,47.0,6.0,0.0,3.0,1.0,0.0,0.0,21.0,20.0,5.0,8.0,6.0,5.0,21.0,10.0,5.0,3.0,45.0,50.0,42.0,41.0,3.0,9.0,7.0,11.0,32.0,0.0,3.0,True,Chelsea,Man City,2025-26
20251601,202533,16,1,1966.49,2044.21,59.0,41.0,1.36,1.62,15.0,9.0,5.0,3.0,5.0,5.0,3.0,4.0,424.0,262.0,5.0,12.0,8.0,5.0,0.98,1.32,0.38,0.3,1.36,1.62,1.36,1.32,5.0,3.0,5.0,3.0,2.0,2.0,13.0,8.0,2.0,1.0,498.0,348.0,186.0,128.0,238.0,134.0,24.0,22.0,3.0,2.0,17.0,17.0,40.0,14.0,0.0,4.0,2.0,2.0,0.0,0.0,12.0,22.0,9.0,9.0,4.0,6.0,27.0,26.0,1.0,2.0,51.0,43.0,32.0,30.0,19.0,13.0,9.0,3.0,33.0,2.0,1.0,True,Man City,Arsenal,2025-26
20250312,202533,3,12,1849.21,1789.25,60.0,40.0,1.65,0.81,17.0,10.0,7.0,3.0,4.0,1.0,2.0,1.0,378.0,236.0,6.0,10.0,12.0,1.0,0.94,0.46,0.71,0.35,1.65,0.81,2.02,0.95,5.0,5.0,5.0,2.0,1.0,2.0,12.0,10.0,5.0,0.0,473.0,315.0,153.0,119.0,225.0,117.0,26.0,23.0,11.0,3.0,27.0,19.0,45.0,27.0,1.0,1.0,3.0,0.0,0.0,0.0,10.0,22.0,13.0,6.0,2.0,5.0,24.0,62.0,2.0,5.0,54.0,64.0,30.0,36.0,24.0,28.0,11.0,8.0,33.0,2.0,2.0,True,Bournemouth,Leeds,2025-26
20250410,202533,4,10,1833.07,1801.05,48.0,52.0,1.43,0.77,13.0,11.0,4.0,0.0,4.0,1.0,4.0,1.0,310.0,355.0,8.0,13.0,9.0,3.0,0.54,0.68,0.89,0.1,1.43,0.77,0.27,0.0,6.0,5.0,3.0,6.0,0.0,0.0,12.0,8.0,1.0,3.0,391.0,435.0,200.0,215.0,110.0,140.0,16.0,16.0,8.0,2.0,19.0,20.0,22.0,20.0,1.0,1.0,0.0,1.0,0.0,0.0,12.0,13.0,3.0,5.0,5.0,2.0,15.0,22.0,0.0,4.0,48.0,46.0,30.0,26.0,18.0,20.0,7.0,5.0,33.0,0.0,0.0,True,Brentford,Fulham,2025-26
