player_id,fixture_order,gw_id,opponent,is_home,difficulty
341,2,202606,NFO,True,3
341,3,202607,bha,False,3
341,4,202608,NEW,True,2
341,5,202609,tot,False,3
346,1,202606,cov,False,2
346,2,202607,AVL,True,3
346,3,202608,cry,False,3
346,4,202609,EVE,True,3
346,5,202610,ful,False,3
349,1,202606,mun,False,4
349,2,202607,COV,True,2
349,3,202608,che,False,4
349,4,202609,CRY,True,3
349,5,202610,lee,False,3
350,1,202606,avl,False,4
350,2,202607,LIV,True,4
350,3,202608,hul,False,2
350,4,202609,NFO,True,3
350,5,202610,bha,False,3
360,1,202605,CRY,True,3
360,2,202606,ars,False,5
360,3,202607,MUN,True,4
360,4,202608,sun,False,3
360,5,202609,bou,False,3
361,1,202605,LIV,True,4
361,2,202606,che,False,4
361,3,202607,SUN,True,2
361,4,202608,mun,False,4
361,5,202609,LEE,True,2
363,1,202606,cry,False,3
363,2,202607,ARS,True,4
363,3,202608,ips,False,2
363,4,202609,bre,False,3
363,5,202610,MCI,True,4
369,1,202606,BOU,True,3
369,2,202607,eve,False,3
369,3,202608,TOT,True,3
369,4,202609,MUN,True,4
369,5,202610,sun,False,3
372,1,202606,FUL,True,2
372,2,202607,mci,False,5
372,3,202608,NFO,True,3
372,4,202609,hul,False,2
372,5,202610,BOU,True,3
374,1,202606,EVE,True,3
374,2,202607,ful,False,3
374,3,202608,BRE,True,3
374,4,202609,IPS,True,2
374,5,202610,ars,False,5
375,1,202606,FUL,True,2
375,2,202607,mci,False,5
375,3,202608,NFO,True,3
375,4,202609,hul,False,2
375,5,202610,BOU,True,3
378,1,202605,LIV,True,4
378,2,202606,che,False,4
378,3,202607,SUN,True,2
378,4,202608,mun,False,4
378,5,202609,LEE,True,2
379,1,202606,FUL,True,2
379,2,202607,mci,False,5
379,3,202608,NFO,True,3
379,4,202609,hul,False,2
379,5,202610,BOU,True,3
385,1,202606,LEE,True,2
385,2,202607,nfo,False,3
385,3,202608,EVE,True,3
385,4,202609,liv,False,4
385,5,202610,HUL,True,2
389,1,202605,lee,False,3
389,2,202606,NFO,True,3
389,3,202607,bha,False,3
389,4,202608,NEW,True,2
389,5,202609,tot,False,3
391,1,202606,LEE,True,2
391,2,202607,nfo,False,3
391,3,202608,EVE,True,3
391,4,202609,liv,False,4
391,5,202610,HUL,True,2
393,1,202606,mun,False,4
393,2,202607,COV,True,2
393,3,202608,che,False,4
393,4,202609,CRY,True,3
393,5,202610,lee,False,3
402,1,202606,mun,False,4
402,2,202607,COV,True,2
402,3,202608,che,False,4
402,4,202609,CRY,True,3
402,5,202610,lee,False,3
408,1,202606,sun,False,3
408,2,202607,CRY,True,3
408,3,202608,liv,False,4
408,4,202609,mci,False,5
408,5,202610,BRE,True,3
413,1,202605,ful,False,3
413,2,202606,TOT,True,3
413,3,202607,lee,False,3
413,4,202608,BOU,True,3
413,5,202609,che,False,4
421,1,202606,mun,False,4
421,2,202607,COV,True,2
421,3,202608,che,False,4
421,4,202609,CRY,True,3
421,5,202610,lee,False,3
425,1,202605,CRY,True,3
425,2,202606,ars,False,5
425,3,202607,MUN,True,4
425,4,202608,sun,False,3
425,5,202609,bou,False,3
430,1,202605,bou,False,3
430,2,202606,MCI,True,4
430,3,202607,bre,False,3
430,4,202608,BHA,True,2
430,5,202609,ARS,True,4
437,1,202605,lee,False,3
437,2,202606,NFO,True,3
437,3,202607,bha,False,3
437,4,202608,NEW,True,2
437,5,202609,tot,False,3
439,1,202606,LEE,True,2
439,2,202607,nfo,False,3
439,3,202608,EVE,True,3
439,4,202609,liv,False,4
439,5,202610,HUL,True,2
442,1,202605,lee,False,3
442,2,202606,NFO,True,3
442,3,202607,bha,False,3
442,4,202608,NEW,True,2
442,5,202609,tot,False,3
455,1,202606,avl,False,4
455,2,202607,LIV,True,4
455,3,202608,hul,False,2
455,4,202609,NFO,True,3
455,5,202610,bha,False,3
456,1,202605,SUN,True,2
456,2,202606,liv,False,4
456,3,202607,IPS,True,2
456,4,202608,avl,False,4
456,5,202609,BHA,True,2
458,1,202606,NEW,True,2
458,2,202607,tot,False,3
458,3,202608,FUL,True,2
458,4,202609,SUN,True,2
458,5,202610,eve,False,3
463,1,202605,MUN,True,4
463,2,202606,ips,False,2
463,3,202607,HUL,True,2
463,4,202608,cov,False,2
463,5,202609,avl,False,4
464,1,202606,BRE,True,3
464,2,202607,new,False,3
464,3,202608,MCI,True,4
464,4,202609,FUL,True,2
464,5,202610,mun,False,4
466,1,202606,BOU,True,3
466,2,202607,eve,False,3
466,3,202608,TOT,True,3
466,4,202609,MUN,True,4
466,5,202610,sun,False,3
470,1,202605,bou,False,3
470,2,202606,MCI,True,4
470,3,202607,bre,False,3
470,4,202608,BHA,True,2
470,5,202609,ARS,True,4
471,1,202605,LIV,True,4
471,2,202606,che,False,4
471,3,202607,SUN,True,2
471,4,202608,mun,False,4
471,5,202609,LEE,True,2
476,1,202605,SUN,True,2
476,2,202606,liv,False,4
476,3,202607,IPS,True,2
